id,lat,lon,name,docks
418,40.70224,-73.982578,"Front St & Gold St",23
419,40.69580705,-73.97355569,"Carlton Av & Park Av",23
420,40.68764484,-73.96968902,"Clermont Av & Lafayette Av",23
421,40.69573398,-73.97129668,"Clermont Av & Park Av",19
422,40.7714846,-73.99040196,"11 Avenue and W 59 Street",55
423,40.76584941,-73.98690506,"W 54 St & 9 Av",39
426,40.71754834,-74.01322069,"West St & Chambers St",31
427,40.70251526,-74.01427023,"State Street",59
428,40.72467721,-73.98783413,"E 3 Street & 1 Avenue",31
430,40.7014851,-73.98656928,"York Street & Jay Street",27
431,40.68864636,-73.98263429,"Hanover Pl & Livingston St",30
432,40.72621788,-73.98379855,"E 7 Street & Avenue A",31
433,40.72955361,-73.98057249,"E 13 Street & Avenue A",39
434,40.74317449,-74.00366443,"9 Avenue & W 18 Street",27
435,40.74173969,-73.99415556,"W 21 Street & 6 Avenue",47
436,40.68216564,-73.95399026,"Hancock St & Bedford Av",23
437,40.6809833854,-73.9500479759,"Macon St & Nostrand Av",27
438,40.72779126,-73.98564945,"St Marks & 1 Av",27
439,40.7262807,-73.98978041,"E 4 Street & 2 Avenue",39
440,40.75255434,-73.97282625,"E 45 St & 3 Av",32
441,40.7560191,-73.96744628,"E 52 Street & 2 Avenue",34
442,40.7468416,-73.99445897,"W 27 St & 7 Av",51
443,40.70853074,-73.96408963,"Bedford and South 9th",23
444,40.7423543,-73.98915076,"Broadway & W 24 Street",52
445,40.72740794,-73.98142006,"E 10 Street & Avenue A",36
446,40.74487634,-73.99529885,"W 24 Street & 7 Avenue",39
447,40.76370739,-73.9851615,"8  Av & W 57 St",31
448,40.75660359,-73.9979009,"W 37 St & 10 Av",31
449,40.76461837,-73.98789473,"52 St & 9 Av",31
450,40.76227205,-73.98788205,"W 49 Street & 8 Avenue",59
453,40.74475148,-73.99915362,"W 22 St & 8 Av",39
454,40.75455731,-73.96592976,"E 51 Street and 1 Avenue",35
455,40.75001986,-73.96905301,"1 Avenue & E 44 Street",39
456,40.7597108,-73.97402311,"E 53 St and Madison Av",35
457,40.76695317,-73.98169333,"Broadway & W 57 st",59
458,40.74806176,-74.00723188,"W 22 Street & 11 Avenue",27
459,40.74522724,-74.00797904,"W 18 Street & 11 Avenue",21
460,40.71285887,-73.96590294,"S 4 St & Wythe Av",23
461,40.73587678,-73.98205027,"E 20 Street & 2 Avenue",39
462,40.74691959,-74.00451887,"W 22 Street & 10 Avenue",46
463,40.74206539,-74.00443172,"9 Avenue & W 16 Street",25
464,40.75934501,-73.96759673,"E 56 Street & 3 Avenue",59
465,40.75513557,-73.98658032,"Broadway & W 41 Street",39
